新闻标题,新闻链接,新闻日期,状态
再造“梅西”，蛇打七寸！恩里克给阿尔特塔上了一堂战术课！,https://news.zhibo8.com/zuqiu/2025-04-30/6811521a4daecnative.htm,2025-04-30,
詹俊晒梅西2009年欧冠决赛头球破门照片：当年你们惊呆了么？,https://news.zhibo8.com/zuqiu/2025-05-23/68305cee92788native.htm,2025-05-23,已发送
陕旅集团：阿根廷国会议员到访，推动阿根廷国家队等比赛落地西安,https://news.zhibo8.com/zuqiu/2025-05-24/6831313082c62native.htm,2025-05-24,已发送
小马哥：不仅仅是梅西我会和很多球员交流；教练要相信自己的打法,https://news.zhibo8.com/zuqiu/2025-05-24/68309d8488599native.htm,2025-05-24,已发送
魔笛联手梅西？世体：迈阿密国际有意免签莫德里奇 年薪250万美元,https://news.zhibo8.com/zuqiu/2025-05-23/68307b1c3c3a9native.htm,2025-05-23,已发送
马斯切拉诺：我没有参与谈判，不知道梅西在俱乐部的未来,https://news.zhibo8.com/zuqiu/2025-05-23/683078c2eb18bnative.htm,2025-05-23,已发送
每体：亚马尔取关了梅西，两人并无交集但相遇终会到来,https://news.zhibo8.com/zuqiu/2025-05-23/6830195476b98native.htm,2025-05-23,已发送
梅西选职业生涯最喜欢的进球：2009年欧冠决赛对阵曼联的头球破门,https://news.zhibo8.com/zuqiu/2025-05-23/682fc531c0b5bnative.htm,2025-05-23,已发送
跟队记者：梅西昨天参加了团队训练，没有任何问题,https://news.zhibo8.com/zuqiu/2025-05-22/682edcd5d79a7native.htm,2025-05-22,
赫罗纳主帅：亚马尔有纯粹的天赋，他让我想起了梅西、马拉多纳,https://news.zhibo8.com/zuqiu/2025-05-22/682edb5e7cb53native.htm,2025-05-22,
前美国脚：梅西说美职联应审视裁判问题？他在找借口&对球队沮丧,https://news.zhibo8.com/zuqiu/2025-05-22/682ececab8129native.htm,2025-05-22,
记者：美职联公布本周处罚，梅西没因赛后染黄及谈裁判言论被罚款,https://news.zhibo8.com/zuqiu/2025-05-21/682d4fcec07a3native.htm,2025-05-21,
纽维尔老男孩主席：一直希望梅西能重返俱乐部，哪怕只是一场比赛,https://news.zhibo8.com/zuqiu/2025-05-21/682d33860c922native.htm,2025-05-21,
14-15赛季来西甲单赛季盘带榜：前三均为梅西，最高307次,https://news.zhibo8.com/zuqiu/2025-05-21/682cdb4433cc6native.htm,2025-05-21,
厄德高谈年少足球偶像：有段时间梅西，有段时间C罗，还有D席小法,https://news.zhibo8.com/zuqiu/2025-05-20/682c8624a69f7native.htm,2025-05-20,
🔟亚马尔准备接棒！巴萨10号演变史：小罗→梅西→法蒂→亚马尔,https://news.zhibo8.com/zuqiu/2025-05-20/682c5a021a0a9native.htm,2025-05-20,
问就是梅西🤣瓜帅：共事过传球最好的是梅西，德布劳内排第二,https://news.zhibo8.com/zuqiu/2025-05-20/682bd3068f667native.htm,2025-05-20,
记者：梅西的续约谈判非常复杂，迈阿密管理层希望获得部分决策权,https://news.zhibo8.com/zuqiu/2025-05-20/682bcf2f7f1dfnative.htm,2025-05-20,
迈阿密国际vs费城联合首发：梅西、苏牙、阿尔巴、布斯克茨先发,https://news.zhibo8.com/zuqiu/2025-05-25/6831e365da94enative.htm,2025-05-25,已发送
因凡蒂诺：希望梅西踢2030年世界杯 只要还想踢我们随时敞开大门,https://news.zhibo8.com/zuqiu/2025-05-25/6832319406f06native.htm,2025-05-25,已发送
近20年欧洲金靴：梅西100分&92分 C罗96分 今年姆巴佩62分夺魁,https://news.zhibo8.com/zuqiu/2025-05-26/68338656ea7cdnative.htm,2025-05-26,已发送
近20年欧洲金靴：梅西100分&92分 C罗96分 今年姆巴佩暂62分领跑,https://news.zhibo8.com/zuqiu/2025-05-25/6832c5d1a6897native.htm,2025-05-25,已发送
刻在DNA里的默契👬梅西任意球打近角，苏牙在门将身前阻挡视野,https://news.zhibo8.com/zuqiu/2025-05-25/683279132a92dnative.htm,2025-05-25,已发送
梅西全场数据：评分7.6队内最高，3射门2射正，成功过人4次,https://news.zhibo8.com/zuqiu/2025-05-25/683277255884bnative.htm,2025-05-25,已发送
梅罗当前进球数：C罗1278场935球，梅西1101场861球,https://news.zhibo8.com/zuqiu/2025-05-25/683275b45167enative.htm,2025-05-25,已发送
连扳2球补时绝平！迈阿密国际3-3费城近6轮仅1胜 梅西任意球破门,https://news.zhibo8.com/zuqiu/2025-05-25/match1596204date2025vnative.htm,2025-05-25,已发送
绝平！迈阿密3-3绝平，梅西策动进攻，特拉斯科绝平,https://news.zhibo8.com/zuqiu/2025-05-25/68326f11bbb51native.htm,2025-05-25,已发送
独居历史第三！37岁梅西攻入生涯第67个任意球，超越小罗！,https://news.zhibo8.com/zuqiu/2025-05-25/6832726d5468fnative.htm,2025-05-25,已发送
梅西任意球破门！打入个人赛季第11球，职业生涯任意球总数达67球,https://news.zhibo8.com/zuqiu/2025-05-25/68325e35df9c2native.htm,2025-05-25,已发送
老父亲的欣慰！梅西自豪见证两子捧起冠军奖杯,https://news.zhibo8.com/zuqiu/2025-05-27/6835d224ef86bnative.htm,2025-05-27,已发送
💥沙特记者：C罗仍想加盟新月参加世俱杯，但新月拒绝&想要梅西,https://news.zhibo8.com/zuqiu/2025-05-27/6835be3e4c7aanative.htm,2025-05-27,已发送
队徽LSM！苏亚雷斯宣布邀请梅西成立职业俱乐部，征战乌拉圭联赛,https://news.zhibo8.com/zuqiu/2025-05-27/6835be0d30837native.htm,2025-05-27,已发送
斯科尔斯评最佳阵容：梅西、C罗、小罗、齐达内、莫德里奇在列,https://news.zhibo8.com/zuqiu/2025-05-27/6834f61223e25native.htm,2025-05-27,已发送
普拉蒂尼：姆巴佩是前锋任务是进球，他不是齐达内莫德里奇梅西,https://news.zhibo8.com/zuqiu/2025-05-28/6836d7a108a56native.htm,2025-05-28,已发送
克雷斯波：梅西触球三百次也从不丢球，他带球冲向你过掉你看着你,https://news.zhibo8.com/zuqiu/2025-05-28/68370b9e60a9anative.htm,2025-05-28,已发送
迈阿密国际vs蒙特利尔首发：梅西领衔 苏亚雷斯、布斯克茨出战,https://news.zhibo8.com/zuqiu/2025-05-29/68373caeaf6danative.htm,2025-05-29,已发送
官方：梅西任意球破门当选美职联本轮最佳进球,https://news.zhibo8.com/zuqiu/2025-05-28/68368725457e4native.htm,2025-05-28,已发送
2023阿根廷中国行主办方：已锁定阿根廷乌拉圭在亚洲的4场友谊赛,https://news.zhibo8.com/zuqiu/2025-05-29/6838071c70838native.htm,2025-05-29,已发送
前教练：若梅西巴西人、内马尔阿根廷人，我们可能会说后者更出色,https://news.zhibo8.com/zuqiu/2025-05-29/68382593c3b2dnative.htm,2025-05-29,已发送
亚马尔取关梅西🔥每体：巴萨现役球员中 梅西只关注了佩德里,https://news.zhibo8.com/zuqiu/2025-05-30/6838ac932f58enative.htm,2025-05-30,已发送
2射1传助球队获胜，官方：梅西当选美职联第16比赛日最佳球员,https://news.zhibo8.com/zuqiu/2025-05-30/6838bfbb97925native.htm,2025-05-30,已发送
仅用37场比赛！梅西美职联常规赛参与50球，迈阿密国际队史首人,https://news.zhibo8.com/zuqiu/2025-05-29/6837e9f99d9d2native.htm,2025-05-29,已发送
状态火热🔥梅西19场比赛13球3助&直接参与球队超1/3的进球,https://news.zhibo8.com/zuqiu/2025-05-29/6837bedf090d1native.htm,2025-05-29,已发送
2射1传！梅西当选本场迈阿密国际队内最佳球员,https://news.zhibo8.com/zuqiu/2025-05-29/6837c5b429630native.htm,2025-05-29,已发送
梅西本场数据：2射1传&4过人成功3关键传球，评分9.7全场最高,https://news.zhibo8.com/zuqiu/2025-05-29/6837be75e4c27native.htm,2025-05-29,已发送
梅罗当前进球数：C罗1279场936球，梅西1102场863球,https://news.zhibo8.com/zuqiu/2025-05-29/6837bbe58cfe8native.htm,2025-05-29,已发送
梅西&苏亚雷斯双双2射1传！迈阿密国际4-2蒙特利尔近5场首胜,https://news.zhibo8.com/zuqiu/2025-05-29/match1596203date2025vnative.htm,2025-05-29,已发送
梅西两射一传！轻巧挑射破门，戏耍门将！苏亚雷斯送出助攻,https://news.zhibo8.com/zuqiu/2025-05-29/6837b73982f56native.htm,2025-05-29,已发送
再下一城！梅西传射，苏牙破门！迈阿密2-0领先,https://news.zhibo8.com/zuqiu/2025-05-29/6837a662aeed3native.htm,2025-05-29,已发送
还得是布教授啊😂梅西内切远射，布斯克茨贡献世纪助攻+挡拆,https://news.zhibo8.com/zuqiu/2025-05-29/6837a6db48744native.htm,2025-05-29,已发送
半场-迈阿密国际1-0蒙特利尔冲击 梅西远射破门阿尔巴无对抗伤退,https://news.zhibo8.com/zuqiu/2025-05-29/6837a616c60dbnative.htm,2025-05-29,已发送
连场破门！梅西内切世界波破门！布斯克茨送助攻,https://news.zhibo8.com/zuqiu/2025-05-29/6837a58c94aa2native.htm,2025-05-29,已发送
阿根廷跟队：迪马利亚正在与罗萨里奥中央谈判，加盟可能性很大,https://news.zhibo8.com/zuqiu/2025-05-30/683887d8ee11anative.htm,2025-05-30,已发送
伊涅斯塔评最佳阵：梅西领衔全巴萨阵容&内马尔无缘 小白自己执教,https://news.zhibo8.com/zuqiu/2025-05-30/6839c0b2a604cnative.htm,2025-05-30,已发送
FC25美职联赛季最佳阵：梅西、苏亚雷斯领衔，阿尔巴、本特克在列,https://news.zhibo8.com/zuqiu/2025-05-31/683a019df2644native.htm,2025-05-31,已发送
与球王🐐的合照！阿超球员参观迈阿密训练中心，借机与梅西合影,https://news.zhibo8.com/zuqiu/2025-05-30/6839c916f2454native.htm,2025-05-30,已发送
被问梅西中国香港行争议，阿莫林：我听说了，球员身体良好就会上,https://news.zhibo8.com/zuqiu/2025-05-30/68398f5460e52native.htm,2025-05-30,已发送
阿根廷记者：纽维尔老男孩将与梅西接触，争取让他短期内回归,https://news.zhibo8.com/zuqiu/2025-05-30/6839595e2e72bnative.htm,2025-05-30,已发送
巴媒：纽维尔老男孩计划以梅西命名新看台，以表达对他的一种致敬,https://news.zhibo8.com/zuqiu/2025-05-30/6839a0639ce0dnative.htm,2025-05-30,已发送
欧冠决赛评分最高榜：杜埃9.7分居首，库尔图瓦9.5分&梅西9.1分,https://news.zhibo8.com/zuqiu/2025-06-01/683b734970b4enative.htm,2025-06-01,已发送
官方：布恩迪亚重返阿根廷国家队，备战对阵智利和哥伦比亚的比赛,https://news.zhibo8.com/zuqiu/2025-06-01/683b4d359afa4native.htm,2025-06-01,已发送
跟队：阿根廷周一开始训练周三前往客场，加纳乔技术原因落选,https://news.zhibo8.com/zuqiu/2025-06-01/683b2b8017ffdnative.htm,2025-06-01,已发送
TYC：麦卡利斯特因身体不适缺席阿根廷队名单,https://news.zhibo8.com/zuqiu/2025-05-31/683a820ece015native.htm,2025-05-31,已发送
迈阿密国际vs哥伦布机员首发：梅西、苏亚雷斯、布斯克茨出战,https://news.zhibo8.com/zuqiu/2025-06-01/683b86ed3ad88native.htm,2025-06-01,已发送
萨内蒂列5名最佳欧冠球员：大罗、梅西、马尔蒂尼、吉格斯、哈维,https://news.zhibo8.com/zuqiu/2025-05-31/683aa79b220e3native.htm,2025-05-31,已发送
自带关注！苏亚雷斯和梅西的新俱乐部，不到4天关注人数超50万,https://news.zhibo8.com/zuqiu/2025-05-31/683a91f7f22f6native.htm,2025-05-31,已发送
已出线！阿根廷6月世预赛名单：梅西领衔 17岁马斯坦托诺首次入选,https://news.zhibo8.com/zuqiu/2025-05-31/683a5a1bdfae9native.htm,2025-05-31,已发送
😂梅西叫啥来着？新球队成立时花絮：苏牙突然语塞忘记梅西名字,https://news.zhibo8.com/zuqiu/2025-05-31/683a4ff1a7d22native.htm,2025-05-31,已发送
提起欧冠首先想到谁？里贝里奥科查回答梅西，卡洛斯等3人选齐祖,https://news.zhibo8.com/zuqiu/2025-05-31/683a4a1186340native.htm,2025-05-31,已发送
感觉梅西vs齐达内虚晃了下？👀👀马塞洛评欧冠传奇：C罗胜出,https://news.zhibo8.com/zuqiu/2025-06-01/683c5f4e5227bnative.htm,2025-06-01,已发送
拉菲尼亚是第5位夺得欧冠金靴的巴萨球员，梅西曾6次做到,https://news.zhibo8.com/zuqiu/2025-06-01/683c295ba2fb4native.htm,2025-06-01,已发送
前美国脚：C罗可以来美职联冲击千球，梅西来之前也没人能想到,https://news.zhibo8.com/zuqiu/2025-06-02/683c7c8d868a6native.htm,2025-06-02,已发送
马斯切拉诺：梅西诠释了钦佩二字，我们的工作就是让他踢得舒心,https://news.zhibo8.com/zuqiu/2025-06-01/683c5e187d0cdnative.htm,2025-06-01,已发送
卡洛斯：国家德比有次防梅西手指骨折，我说是梅西的错他说对不起,https://news.zhibo8.com/zuqiu/2025-06-01/683be46444b43native.htm,2025-06-01,已发送
马斯切拉诺谈梅西：当他表现不佳时，那是因为我们中有人失败了,https://news.zhibo8.com/zuqiu/2025-06-01/683bc1b93a6b4native.htm,2025-06-01,已发送
独造四球⚽梅西社媒：又一场主场胜利！➕3️⃣,https://news.zhibo8.com/zuqiu/2025-06-01/683bbefeee6cbnative.htm,2025-06-01,已发送
2球2助，梅西第13次在俱乐部比赛中单场贡献多个进球和多次助攻,https://news.zhibo8.com/zuqiu/2025-06-01/683bbb791686anative.htm,2025-06-01,已发送
球衣-1😂梅西赛后赤膊上身，他的落场球衣又被交换走了,https://news.zhibo8.com/zuqiu/2025-06-01/683bb389b9814native.htm,2025-06-01,已发送
2射2传独造4球！官方：梅西当选迈阿密国际5-1哥伦布机员全场最佳,https://news.zhibo8.com/zuqiu/2025-06-01/683bb323e5378native.htm,2025-06-01,已发送
梅西本场比赛数据：2射2传+5关键传球，评分10.0全场最高,https://news.zhibo8.com/zuqiu/2025-06-01/683bb1f2acfd4native.htm,2025-06-01,已发送
梅西加盟迈阿密国际以来打进49球，11次双响&1次戴帽,https://news.zhibo8.com/zuqiu/2025-06-01/683bb0a4438bdnative.htm,2025-06-01,已发送
华丽数据🤩37岁梅西当前生涯865球384助制造进球1249球，拿46冠,https://news.zhibo8.com/zuqiu/2025-06-01/683bafd82a558native.htm,2025-06-01,已发送
2场造7球🔥梅西本场2传2射独造4球，近2场比赛直接参与7粒进球,https://news.zhibo8.com/zuqiu/2025-06-01/683bae6ed9134native.htm,2025-06-01,已发送
梅西出战1103场比赛超越萨内蒂，独享出场最多阿根廷球员荣誉,https://news.zhibo8.com/zuqiu/2025-06-01/683bafb491851native.htm,2025-06-01,已发送
两连胜！迈阿密国际5-1哥伦布机员 梅西2射2传独造4球，苏牙破门,https://news.zhibo8.com/zuqiu/2025-06-01/match1596223date2025vnative.htm,2025-06-01,已发送
打花了！梅西2射2传独造4球，法法破门！迈阿密5-1领先,https://news.zhibo8.com/zuqiu/2025-06-01/683bab6371a40native.htm,2025-06-01,已发送
攻势如潮！梅西策动，苏亚雷斯推射近角破门！迈阿密4-1领先,https://news.zhibo8.com/zuqiu/2025-06-01/683ba61600068native.htm,2025-06-01,已发送
欧冠改制后决赛进球榜：C罗4球居首，贝尔3球&杜埃2球追平梅西,https://news.zhibo8.com/zuqiu/2025-06-01/683b931050284native.htm,2025-06-01,已发送
麦卡：梅西赢得所有荣誉仍渴望更多成就 国家队人才辈出值得期待,https://news.zhibo8.com/zuqiu/2025-06-03/683de3d13601cnative.htm,2025-06-03,已发送
麦卡：职业生涯有幸遇到梅西这样的领袖 萨拉赫经验丰富&乐于分享,https://news.zhibo8.com/zuqiu/2025-06-03/683ddcf208626native.htm,2025-06-03,已发送
谁是最靓的仔？阿根廷国家队集结，罗梅罗小蜘蛛德保罗等人抵达,https://news.zhibo8.com/zuqiu/2025-06-02/683d299a9977fnative.htm,2025-06-02,已发送
纳赛尔：永远不会忘内马尔&梅西&姆巴佩，他们是巴黎成功的一部分,https://news.zhibo8.com/zuqiu/2025-06-02/683dc192abe13native.htm,2025-06-02,已发送
亚马尔：因喜欢梅西选择19号球衣 金球奖不应取决于一场比赛,https://news.zhibo8.com/zuqiu/2025-06-03/683e1e668fe4fnative.htm,2025-06-03,已发送
阿根廷足协主席欢迎梅西归队：你好亲爱的莱奥，到家了,https://news.zhibo8.com/zuqiu/2025-06-03/683e2f9c7b035native.htm,2025-06-03,已发送
美职联第17轮官方最佳阵：梅西领衔,https://news.zhibo8.com/zuqiu/2025-06-03/683e04ccc33efnative.htm,2025-06-03,已发送
两球两助！美职联官方：梅西当选本轮最佳球员，连续两轮当选,https://news.zhibo8.com/zuqiu/2025-06-03/683e024322ff7native.htm,2025-06-03,已发送
真开心呐！梅西社媒晒抵达阿根廷队报到照片：我们到了,https://news.zhibo8.com/zuqiu/2025-06-02/683d81e451b97native.htm,2025-06-02,已发送
德科：亚马尔能像梅西那样创造历史 我们要帮他管理好场外事宜,https://news.zhibo8.com/zuqiu/2025-06-02/683d7716336b2native.htm,2025-06-02,已发送
波切蒂诺：球员必须为国家队而自豪，梅西内马尔姆巴佩都是这样的,https://news.zhibo8.com/zuqiu/2025-06-03/683ea2a529160native.htm,2025-06-03,已发送
麦肯尼：世界杯将再次点燃美国的激情，梅西他们让足球更受欢迎了,https://news.zhibo8.com/zuqiu/2025-06-03/683f08d7c41cenative.htm,2025-06-03,已发送
阿圭罗谈世俱杯：梅西随时都能给你致命一击，就因为他是世界第一,https://news.zhibo8.com/zuqiu/2025-06-04/683f37c49ac88native.htm,2025-06-04,已发送
加拉：若C罗参加，世俱杯营销会大获成功，球迷想看他和梅西对垒,https://news.zhibo8.com/zuqiu/2025-06-04/683f2d6ce701dnative.htm,2025-06-04,已发送
瑞士天空：沙特有意引进梅西&与其父见面 美职联水平低令梅西失望,https://news.zhibo8.com/zuqiu/2025-06-03/683e9923400f9native.htm,2025-06-03,已发送
ESPN年度20大边锋：萨拉赫最佳，亚马尔第2，梅西第8&杜埃第14,https://news.zhibo8.com/zuqiu/2025-06-04/684044ad00066native.htm,2025-06-04,已发送
记者：皇马的引援负责人在阿根廷的一家酒店，与马斯坦托诺谈判,https://news.zhibo8.com/zuqiu/2025-06-04/68404997756eanative.htm,2025-06-04,已发送
博扬：小罗是我合作过的最佳球员；梅西多年来一直处于最高水平,https://news.zhibo8.com/zuqiu/2025-06-05/684077ed7ea31native.htm,2025-06-05,已发送
劳塔罗：虽遗憾没拿任何冠军但这是积极的赛季 我始终心念阿根廷,https://news.zhibo8.com/zuqiu/2025-06-05/684076e2bb829native.htm,2025-06-05,已发送
斯卡洛尼：还没决定梅西是否首发 肯定会给上场不多的年轻人机会,https://news.zhibo8.com/zuqiu/2025-06-05/6840a1a6d664anative.htm,2025-06-05,已发送
荣归故里！记者：梅西计划在迈阿密合约结束后，回归纽维尔老男孩,https://news.zhibo8.com/zuqiu/2025-06-04/684028f49113bnative.htm,2025-06-04,已发送
苏媒：苏超南京队助教是西甲旧将，曾多次与梅西等人同场竞技,https://news.zhibo8.com/zuqiu/2025-06-04/683fd622df4a8native.htm,2025-06-04,已发送
波切蒂诺：梅西在美职联遇到过困难，说明这里的足球很有竞争力,https://news.zhibo8.com/zuqiu/2025-06-04/683fd1597ccd9native.htm,2025-06-04,已发送
巴尔特拉：梅西曾因失点在更衣室懊恼自责，但下半场他又统治球场,https://news.zhibo8.com/zuqiu/2025-06-04/683fb82f95550native.htm,2025-06-04,已发送
👊用拳击的方式打开世俱杯！梅西凯恩哈兰德维尼修斯出镜宣传片,https://news.zhibo8.com/zuqiu/2025-06-05/68415dee5b927native.htm,2025-06-05,已发送
记者预测阿根廷VS智利首发：梅西替补待命，帕斯、小蜘蛛出战,https://news.zhibo8.com/zuqiu/2025-06-06/6841caad325b0native.htm,2025-06-06,已发送
德转美职联最新身价：普吉2000万欧最高，梅西1800万欧第二,https://news.zhibo8.com/zuqiu/2025-06-06/6841c9391c996native.htm,2025-06-06,已发送
下降200万欧！37岁梅西最新德转身价降至1800万欧,https://news.zhibo8.com/zuqiu/2025-06-06/6841c6da7301cnative.htm,2025-06-06,已发送
